entryname,source,author,date,url,teamname,ranking
BR_241227_DEN,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Denver Nuggets,13
BR_241227_SAS,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,San Antonio Spurs,12
BR_241227_MIN,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Minnesota Timberwolves,11
BR_241227_MIA,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Miami Heat,10
BR_241227_LAC,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Los Angeles Clippers,9
BR_241227_MIL,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Milwaukee Bucks,8
BR_241227_DAL,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Dallas Mavericks,7
BR_241227_HOU,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Houston Rockets,6
BR_241227_NYK,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,New York Knicks,5
BR_241227_MEM,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Memphis Grizzlies,4
BR_241227_BOS,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Boston Celtics,3
BR_241227_OKC,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Oklahoma City Thunder,2
BR_241227_CLE,BR,Andy Bailey,241227,https://bleacherreport.com/articles/10148583-nba-power-rankings-can-anyone-challenge-the-celtics-thunder-and-cavaliers,Cleveland Cavaliers,1
CBS_241219_OKC,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Oklahoma City Thunder,1
CBS_241219_CLE,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Cleveland Cavaliers,2
CBS_241219_BOS,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Boston Celtics,3
CBS_241219_DAL,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Dallas Mavericks,4
CBS_241219_MEM,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Memphis Grizzlies,5
CBS_241219_NYK,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,New York Knicks,6
CBS_241219_HOU,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Houston Rockets,7
CBS_241219_ORL,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Orlando Magic,8
CBS_241219_MIN,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Minnesota Timberwolves,9
CBS_241219_MIL,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Milwaukee Bucks,10
CBS_241219_DEN,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Denver Nuggets,11
CBS_241219_GSW,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Golden State Warriors,12
CBS_241219_LAC,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Los Angeles Clippers,13
CBS_241219_MIA,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Miami Heat,14
CBS_241219_PHO,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Phoenix Suns,15
CBS_241219_ATL,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Atlanta Hawks,16
CBS_241219_LAL,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Los Angeles Lakers,17
CBS_241219_SAC,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Sacramento Kings,18
CBS_241219_SAS,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,San Antonio Spurs,19
CBS_241219_CHI,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Chicago Bulls,20
CBS_241219_IND,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Indiana Pacers,21
CBS_241219_DET,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Detroit Pistons,22
CBS_241219_BRK,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Brooklyn Nets,23
CBS_241219_PHI,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Philadelphia 76ers,24
CBS_241219_TOR,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Toronto Raptors,25
CBS_241219_CHA,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Charlotte Hornets,26
CBS_241219_POR,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Portland Trail Blazers,27
CBS_241219_UTA,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Utah Jazz,28
CBS_241219_NOP,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,New Orleans Pelicans,29
CBS_241219_WAS,CBS,Colin Ward-Henninger,241219,https://www.cbssports.com/nba/news/nba-power-rankings-bucks-in-top-10-after-cup-title-okc-hangs-onto-no-1-spot-mavs-on-the-rise/,Washington Wizards,30
CBS_241121_CLE,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Cleveland Cavaliers,1
CBS_241121_BOS,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Boston Celtics,2
CBS_241121_GSW,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Golden State Warriors,3
CBS_241121_OKC,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Oklahoma City Thunder,4
CBS_241121_HOU,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Houston Rockets,5
CBS_241121_LAL,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Los Angeles Lakers,6
CBS_241121_NYK,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,New York Knicks,7
CBS_241121_DEN,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Denver Nuggets,8
CBS_241121_DAL,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Dallas Mavericks,9
CBS_241121_MEM,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Memphis Grizzlies,10
CBS_241121_ORL,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Orlando Magic,11
CBS_241121_MIN,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Minnesota Timberwolves,12
CBS_241121_SAC,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Sacramento Kings,13
CBS_241121_LAC,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Los Angeles Clippers,14
CBS_241121_PHO,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Phoenix Suns,15
CBS_241121_MIA,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Miami Heat,16
CBS_241121_SAS,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,San Antonio Spurs,17
CBS_241121_DET,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Detroit Pistons,18
CBS_241121_MIL,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Milwaukee Bucks,19
CBS_241121_BRK,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Brooklyn Nets,20
CBS_241121_IND,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Indiana Pacers,21
CBS_241121_ATL,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Atlanta Hawks,22
CBS_241121_POR,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Portland Trail Blazers,23
CBS_241121_CHI,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Chicago Bulls,24
CBS_241121_CHA,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Charlotte Hornets,25
CBS_241121_NOP,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,New Orleans Pelicans,26
CBS_241121_TOR,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Toronto Raptors,27
CBS_241121_UTA,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Utah Jazz,28
CBS_241121_PHI,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Philadelphia 76ers,29
CBS_241121_WAS,CBS,Colin Ward-Henninger,241121,https://www.cbssports.com/nba/news/nba-power-rankings-76ers-approach-rock-bottom-celtics-make-case-for-no-1-lakers-and-knicks-streaking/,Washington Wizards,30
CBS_250116_CLE,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Cleveland Cavaliers,1
CBS_250116_OKC,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Oklahoma City Thunder,2
CBS_250116_HOU,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Houston Rockets,3
CBS_250116_BOS,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Boston Celtics,4
CBS_250116_MEM,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Memphis Grizzlies,5
CBS_250116_NYK,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,New York Knicks,6
CBS_250116_DEN,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Denver Nuggets,7
CBS_250116_LAC,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Los Angeles Clippers,8
CBS_250116_MIL,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Milwaukee Bucks,9
CBS_250116_DAL,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Dallas Mavericks,10
CBS_250116_ORL,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Orlando Magic,11
CBS_250116_LAL,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Los Angeles Lakers,12
CBS_250116_MIN,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Minnesota Timberwolves,13
CBS_250116_IND,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Indiana Pacers,14
CBS_250116_SAC,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Sacramento Kings,15
CBS_250116_MIA,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Miami Heat,16
CBS_250116_GSW,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Golden State Warriors,17
CBS_250116_DET,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Detroit Pistons,18
CBS_250116_ATL,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Atlanta Hawks,19
CBS_250116_SAS,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,San Antonio Spurs,20
CBS_250116_PHO,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Phoenix Suns,21
CBS_250116_CHI,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Chicago Bulls,22
CBS_250116_PHI,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Philadelphia 76ers,23
CBS_250116_BRK,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Brooklyn Nets,24
CBS_250116_POR,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Portland Trail Blazers,25
CBS_250116_TOR,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Toronto Raptors,26
CBS_250116_NOP,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,New Orleans Pelicans,27
CBS_250116_UTA,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Utah Jazz,28
CBS_250116_CHA,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Charlotte Hornets,29
CBS_250116_WAS,CBS,Colin Ward-Henninger,250116,https://www.cbssports.com/nba/powerrankings/,Washington Wizards,30
ESPN_250115_CLE,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Cleveland Cavaliers,1
ESPN_250115_OKC,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Oklahoma City Thunder,2
ESPN_250115_BOS,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Boston Celtics,3
ESPN_250115_HOU,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Houston Rockets,4
ESPN_250115_NYK,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,New York Knicks,5
ESPN_250115_MEM,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Memphis Grizzlies,6
ESPN_250115_DEN,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Denver Nuggets,7
ESPN_250115_DAL,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Dallas Mavericks,8
ESPN_250115_ORL,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Orlando Magic,9
ESPN_250115_LAL,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Los Angeles Lakers,10
ESPN_250115_LAC,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Los Angeles Clippers,11
ESPN_250115_IND,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Indiana Pacers,12
ESPN_250115_MIL,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Milwaukee Bucks,13
ESPN_250115_MIN,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Minnesota Timberwolves,14
ESPN_250115_MIA,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Miami Heat,15
ESPN_250115_SAC,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Sacramento Kings,16
ESPN_250115_DET,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Detroit Pistons,17
ESPN_250115_PHO,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Phoenix Suns,18
ESPN_250115_SAS,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,San Antonio Spurs,19
ESPN_250115_ATL,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Atlanta Hawks,20
ESPN_250115_GSW,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Golden State Warriors,21
ESPN_250115_CHI,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Chicago Bulls,22
ESPN_250115_PHI,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Philadelphia 76ers,23
ESPN_250115_POR,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Portland Trail Blazers,24
ESPN_250115_BRK,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Brooklyn Nets,25
ESPN_250115_UTA,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Utah Jazz,26
ESPN_250115_TOR,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Toronto Raptors,27
ESPN_250115_CHA,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Charlotte Hornets,28
ESPN_250115_NOP,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,New Orleans Pelicans,29
ESPN_250115_WAS,ESPN,Staff,250115,https://www.espn.com/nba/story/_/id/43401031/nba-power-rankings-kings-pacers-wolves-catch-groove,Washington Wizards,30
ESPN_250108_CLE,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Cleveland Cavaliers,1
ESPN_250108_OKC,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Oklahoma City Thunder,2
ESPN_250108_BOS,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Boston Celtics,3
ESPN_250108_NYK,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,New York Knicks,4
ESPN_250108_HOU,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Houston Rockets,5
ESPN_250108_MEM,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Memphis Grizzlies,6
ESPN_250108_DEN,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Denver Nuggets,7
ESPN_250108_LAL,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Los Angeles Lakers,8
ESPN_250108_LAC,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Los Angeles Clippers,9
ESPN_250108_ORL,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Orlando Magic,10
ESPN_250108_DAL,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Dallas Mavericks,11
ESPN_250108_MIL,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Milwaukee Bucks,12
ESPN_250108_GSW,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Golden State Warriors,13
ESPN_250108_SAS,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,San Antonio Spurs,14
ESPN_250108_IND,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Indiana Pacers,15
ESPN_250108_MIA,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Miami Heat,16
ESPN_250108_ATL,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Atlanta Hawks,17
ESPN_250108_MIN,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Minnesota Timberwolves,18
ESPN_250108_DET,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Detroit Pistons,19
ESPN_250108_SAC,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Sacramento Kings,20
ESPN_250108_PHI,ESPN,Staff,250108,https://www.espn.com/nba/story/_/id/43326797/nba-power-rankings-radar-trade-moves-30-teams,Philadelphia 76ers,21
